month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール
Aug-12,450977581,171900635,967068187,907359112,1024873519,785449686,665674228,313876677
Sep-12,482890702,232713382,629385071,1003537082,972290417,721586084,732925900,339416355
Oct-12,573490536,246991846,619997765,1200882541,1047116686,911434209,1219434142,410577940
Nov-12,554981840,216140159,595937535,1213589600,1205606620,972991674,826646261,589694787
Dec-12,688458547,333476482,760322171,1292732394,1259938330,1123123556,1344977827,885657320
Jan-13,514980398,485726412,788040218,1343493624,1704140835,1164431022,1102980976,552005718
Feb-13,454769182,330077318,871779671,1379678053,1751479835,1424471218,1426778865,534202459
Mar-13,668492087,305572288,832552365,1664154641,1648695500,1426882747,1696764341,727352159
Apr-13,719445698,467939282,1159542788,1644560341,2218255365,1761471359,3441994653,1032029171
May-13,775546351,283257435,1082415065,1666052629,1997594153,1713795188,2440638853,978007394
Jun-13,834933698,277716776,1143442465,1509650835,2184705282,1621851824,1228674212,850029629
Jul-13,766834771,262352041,1374659759,1602405782,2353561694,2000274265,1915242765,659541718
Aug-13,647656673,176092429,1541778471,1334243053,1612439724,1445206800,1414002671,674839482
Sep-13,671364584,264555100,1215693224,1324484059,2049186453,1410831765,1433659847,558144182
Oct-13,810305656,355465100,1432849147,1474986159,2027719624,1449985188,2473306259,850387941
Nov-13,828236567,296077318,1383170759,1572965194,1926779418,1456041076,2038131424,878243129
Dec-13,977574436,392608400,1619703371,1549644018,2215754941,1937322329,2559936165,1502511259
Jan-14,773658865,600170700,1912216420,2052245920,3022793333,2167532053,1932103887,983289287
Feb-14,611691063,389809427,1939247247,1789225407,2483275793,1780360940,1858156087,849075960
Mar-14,818311880,332925433,1882347000,1936541633,2716171340,1613759207,2607859633,1091332840
Apr-14,968097550,563597153,2232384467,2044706013,2018307640,2026436393,4351040093,1350658153
May-14,940286935,400365753,1988607393,2016747920,2627815153,1514464587,2806185460,1108160187
Jun-14,928696099,328737279,1885298107,1990563133,2881151687,1601344667,1723337960,1202730300
Jul-14,909644640,415004293,2621303393,2136675360,3207839156,2046251446,2082831280,1057682540
Aug-14,801513835,235746667,2837996623,2043044173,2483680208,1632732744,1592454373,866148230
Sep-14,855824198,423919480,2243793580,2256028433,2886026431,1704197559,1519545598,1063983767
Oct-14,1019457160,571747580,3430838698,2616709220,3541541622,1933178626,3289065513,1376676715
Nov-14,1130835237,548027675,3068037270,2492556499,4037034049,2552799502,3090520251,1443040073
Dec-14,1393575386,659808952,4165923158,2609333313,4294293958,4143335817,4371157316,3127200729
Jan-15,1110519229,914359309,3737538514,2768417044,5236274793,4152758477,3560196567,1405847520
Feb-15,886904905,494185540,5794085300,2639235290,4803858745,3349227793,2337851361,1507621656
Mar-15,1242486544,493957300,4944613993,2629052742,4368430151,3319028953,3924468616,1773693344
Apr-15,1535688409,702634982,6596967197,2968741054,5288076761,3875630851,5300285403,2270848354
May-15,1451298322,562895687,5569231658,3023408231,4670949659,3302219001,3655009552,1697386563
Jun-15,1450105641,453683330,5580559010,2456823398,5572915467,3220525830,2217175755,2012123200
Jul-15,1443731709,532113524,6744096936,2887075411,5723270821,4100882168,2419185059,1563322701
Aug-15,1259495388,381538896,6789233293,2759334155,4390684675,3344224053,1933244204,1229445503
Sep-15,1193989485,505815232,4763046264,2686867359,4300186069,2953937203,1682885384,1196086036
Oct-15,1495694854,635005993,6037555197,3130700314,4776728943,3504759853,3652190717,1616557293
Nov-15,1547817280,615434931,5062259016,3058058194,4561565306,3638451477,3064240141,2312869338
Dec-15,1783621089,902530980,5958509488,2829792036,4726980141,4397275983,4082336451,3469021208
Jan-16,1470424391,997060424,6058937151,3005470455,5494167205,3719690061,3304581806,1653798097
Feb-16,1130719335,630315550,6324951683,2792408647,4740791725,2914154262,2787557309,1464719813
Mar-16,1412301333,606877044,4910830905,2584882942,3571169520,2604360829,3236340449,1736062673
