month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール
Aug-12,2572776,698635,269747,1753582,32606,818429,61765,180971
Sep-12,3517787,526971,334912,1344059,70347,507476,112406,311547
Oct-12,2670329,633371,184771,2157394,260706,725641,224559,136235
Nov-12,2161553,582047,92388,1012676,428512,995047,57647,345953
Dec-12,2929304,720165,419647,7392112,35000,544088,101471,251482
Jan-13,2146600,631988,135094,1352641,258794,1646259,183735,4184765
Feb-13,2350942,716059,38676,1314941,359024,1806988,228529,87176
Mar-13,2926178,493118,703647,5898976,151941,1450541,46324,325824
Apr-13,2884302,541659,661329,2245394,446829,1022765,342794,664971
May-13,9122402,3675182,472035,2275706,1725118,2900112,202588,2136447
Jun-13,7006237,787412,399076,1552359,231324,396524,NaN,242888
Jul-13,2387920,843259,982153,857594,551471,1393024,135676,270882
Aug-13,2830882,708382,1818218,1610706,291547,249324,627529,196412
Sep-13,3204591,470824,1188159,1311235,54476,1006518,105618,531382
Oct-13,3014613,225441,1164518,2396812,3811524,848888,255841,209765
Nov-13,2864780,487588,1503988,1118047,300118,2064447,191159,388853
Dec-13,3301300,906871,1299271,2272341,1326318,1277071,352288,413088
Jan-14,2420754,719833,471133,1116867,2458293,1059680,57400,346033
Feb-14,2592554,909840,2882840,2776960,590013,961853,439600,217700
Mar-14,3698187,777533,1495267,1728193,1836327,3899247,137100,330947
Apr-14,5250537,425567,6189673,3630687,1992327,927740,242547,359840
May-14,11601015,4212467,838780,1737747,3139120,2361493,983180,618840
Jun-14,2999387,1230140,2844900,4430100,1019513,3428840,234760,139320
Jul-14,3338141,968687,2022513,2965273,1209993,2066000,173667,414700
Aug-14,2391785,315173,2484807,903140,234020,1467427,72000,495933
Sep-14,2923639,704913,774467,2065213,2961107,724460,85680,310187
Oct-14,2908676,532727,7175353,2326347,2457407,2120513,879267,568373
Nov-14,2266733,817427,1244280,1825267,1251567,2092193,339840,421507
Dec-14,4328048,1181780,923387,2490367,492753,7180667,371307,580800
Jan-15,2522667,612693,744093,1995640,1472687,572613,453133,1367787
Feb-15,2675309,948940,1682533,2363887,332240,1104253,453560,774533
Mar-15,3263220,605293,519233,1197213,1525500,671107,309680,496560
Apr-15,3684104,1396440,1059513,3031120,876353,1668307,489240,777413
May-15,11671648,3530140,5222387,1791880,1847953,1690447,515240,2164513
Jun-15,5340633,586627,1211780,906920,142213,1101793,232987,705507
Jul-15,3766020,344647,917393,1453527,860193,543887,489800,1333800
Aug-15,3547746,684340,1655840,1366367,545760,196920,796480,231480
Sep-15,3530591,1201387,988887,1058233,489187,806367,186480,751107
Oct-15,4254996,568787,2279960,3160973,309493,1650320,221040,596073
Nov-15,3370638,523758,776036,1897979,830607,534249,250640,1058525
Dec-15,4093535,1011363,4056389,2197657,320738,816224,929870,1434854
Jan-16,2548436,736284,853439,1641518,380287,1075512,278591,254860
Feb-16,3693912,733568,1277892,1849884,255746,572464,723364,1123327
Mar-16,2939016,998839,1850376,951095,338751,747189,266525,534557
