month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール,インドネシア
Aug-12,45959093,5633253,53175800,50021235,12811935,15846500,2740618,3648829,2099118
Sep-12,46037464,6952376,27593047,43364506,13062406,13669729,5041306,3981800,1122471
Oct-12,44748502,7382365,29191159,51651500,10635282,18043371,7353271,5039894,2165659
Nov-12,46459029,5339476,21159647,53226153,11917082,27930076,7545224,4414100,1602953
Dec-12,51692567,9959953,27479959,78461194,15662900,31223324,9021529,10701588,3659147
Jan-13,50511520,16388300,31699729,59455918,15647082,12150782,54565529,4590506,4239565
Feb-13,51340693,13541853,32716976,65954706,23745659,17542153,9733812,6316482,1873512
Mar-13,65096771,10367000,43086965,73569047,20730700,18865112,9317471,7449312,2733371
Apr-13,67314420,11460841,52044447,68879465,22165676,22318559,17792065,9389976,3048735
May-13,78998782,8299606,41083565,79920500,21322724,24958653,11511135,8371488,2853518
Jun-13,81983796,11199576,51129812,82986106,31381741,17392012,7981359,11074065,3638924
Jul-13,85138502,13024729,68012976,95661382,31426353,23955188,10774371,8932859,3283747
Aug-13,82336858,6833300,81921071,76455353,27846994,25346606,10154041,8421829,4370571
Sep-13,82641531,10551718,63096876,68008518,32964918,15409353,9669718,8039782,2262500
Oct-13,86521744,12511559,83825012,72994935,35113888,23660224,20640435,9603718,3891041
Nov-13,90221696,10283400,74688256,77878553,30589788,20638382,16287947,12020971,3723559
Dec-13,98841860,15315265,87304165,98180047,31020588,28497647,21217971,18778741,9785741
Jan-14,91467430,25736173,94380493,99154320,37851353,29987420,13621847,10611900,8200080
Feb-14,84380157,18185587,131700987,102955560,55188420,23777800,13456073,14692713,4474253
Mar-14,100712574,16182307,113422340,96117820,87487453,24992887,23023987,14693473,4484047
Apr-14,124518509,21030393,153212327,107140907,74013833,32676607,42863127,16842613,8563167
May-14,119583378,16245127,138850440,115741067,80694620,36825267,18825360,14833607,8218007
Jun-14,122608511,15122787,162751280,128617847,70157913,33046840,15068847,17260553,6865627
Jul-14,138735670,19890247,225897407,154402567,71551873,33409673,21289513,14168733,7189893
Aug-14,133021391,14147940,238472907,133448000,57869700,32061513,11812527,14147940,5011727
Sep-14,124814648,19412280,204736193,119821420,65917467,31843340,12060627,19197469,3640313
Oct-14,141126013,22252280,226753380,137033633,75444420,29261993,33156633,20263247,7848207
Nov-14,142882298,20257360,228133333,132836447,69727587,36668640,37491200,33292000,5628193
Dec-14,150928491,28035715,248593693,153235673,73797153,48517187,34318153,35016373,13431813
Jan-15,148806961,51378740,271535900,168188500,76313027,43799300,23381540,28663913,8706560
Feb-15,140493530,27492453,365008640,170675447,92652667,61648347,21060393,26669467,4672393
Mar-15,172912354,22458280,317325173,157437667,107760420,53561740,30296967,25832440,9661940
Apr-15,185494591,33066153,429880053,162942867,125505480,56824393,54560693,48345233,17692047
May-15,207866311,26311820,402420867,179115113,139216760,59481493,41586493,45963260,10223193
Jun-15,185789676,23301460,542880713,178282100,160990593,60707840,36341820,31945700,6788800
Jul-15,205686865,30913367,608738020,226613580,145833427,72826420,39077767,42556480,15423573
Aug-15,196235511,22538433,629712520,224147647,135326387,62221933,43337633,24689580,11242127
Sep-15,201172654,33158507,440852233,204942267,151337633,65707073,22684180,25408467,6005613
Oct-15,220823368,33794573,505868187,222155633,178081640,61447573,60176900,34435493,8462413
Nov-15,219188272,33194399,454422937,220609072,166141070,52611576,43862946,37190349,22486556
Dec-15,242614101,45722176,514431865,256109869,184103839,78101968,58798871,81723190,26889679
Jan-16,238615110,64622450,573215734,278528593,203978184,60629832,50818800,42985725,14761472
Feb-16,224350259,40266281,647020611,290033356,187226897,67191425,50537020,44495996,11653654
Mar-16,239396439,34807475,468169665,208702849,179041230,54090100,52126512,41984240,13983966
