,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール
Aug-12,5725169,2800076,9930959,2192382,1546353,5353918,1679618,2054447
Sep-12,10657647,3359600,8727859,3105171,2447876,3633324,2070641,3073735
Oct-12,10831880,2515318,16981700,3591288,2816229,1967318,3686141,4100700
Nov-12,15114258,2645900,3482182,6728053,4319324,1422094,3806353,3152759
Dec-12,11486053,5541406,5768412,4865394,6393112,4943953,5417706,5605735
Jan-13,9377251,4158459,5354918,1843782,2361706,2475688,2717688,6807688
Feb-13,8928633,3399965,9478835,6215482,3508982,13820706,2813029,2390706
Mar-13,13061927,6903141,5411353,5216924,5190735,5591947,5450759,4581065
Apr-13,16621640,5245418,21663753,5563700,10755159,6942559,21432041,41617212
May-13,15914778,3540888,17641500,9544806,4023871,3603324,7645800,5053288
Jun-13,14906689,2348459,8307771,9192312,3048959,13446824,3877871,6484418
Jul-13,13102233,4452559,48418971,4456094,6813376,14700324,6482924,3320359
Aug-13,19470224,2342418,11050688,8209947,14752035,8871706,8420559,3590676
Sep-13,15155009,3105800,24237129,9974118,4537753,9369294,5809841,7751241
Oct-13,18992329,4934329,17928929,3136429,4921976,10387265,8566412,2924865
Nov-13,16793340,4994012,11506224,3604365,5350053,9252029,5205512,5554224
Dec-13,18570987,6692147,14475482,3646065,9144359,5768276,7062724,6053506
Jan-14,22844330,9162527,10746480,10279220,9317720,21144040,6156853,5158647
Feb-14,15939026,4191093,42287747,5596740,11863867,3856367,5818167,4119900
Mar-14,24394233,4118087,9877780,4534353,8031773,4352860,8555160,9138747
Apr-14,42222293,8764680,15344518,14546913,7251233,17358013,17096747,2886327
May-14,34071063,12292927,16597773,7141893,9112860,22989720,7956980,7086507
Jun-14,19801967,9593100,21670267,13741660,11662227,6922327,6772987,5198960
Jul-14,19780428,7348467,37256280,6449933,9497373,15080447,13132380,8998493
Aug-14,15188728,2563487,99896153,29908587,16289993,11074153,14498547,6357540
Sep-14,49928780,7605240,12700180,12161073,9781980,9014213,16601987,5207713
Oct-14,47989333,9463420,39347093,7201767,9104020,23366680,13258060,9500820
Nov-14,30636167,11796880,24684553,5878327,10943060,10532913,14438660,5709533
Dec-14,39018509,5034287,56025167,12189593,15726313,22856613,20016133,20776367
Jan-15,47222202,10282847,58988333,6083220,9964300,16630407,13952673,31902500
Feb-15,71916759,11380593,42086220,8578307,16844960,11630287,4524253,10766620
Mar-15,37831133,7182373,32472187,5757327,27424133,13593060,14008987,10100653
Apr-15,61356998,10149520,90217347,86006847,19838413,22371027,21826593,46826387
May-15,42821867,9696393,85656307,9516620,15959820,18290147,13470827,19797607
Jun-15,62792639,12095200,40024493,11064900,17898293,82168847,8173727,15676647
Jul-15,43640443,7672673,52690107,9380073,21960387,25183173,9094153,12979673
Aug-15,34000104,5463109,49087587,8150087,18108860,18436213,23891100,6653800
Sep-15,26826949,8169962,43556871,12053300,19776927,21337140,8321340,7067393
Oct-15,57315984,11076862,63429213,10195467,21675733,18850807,18220733,14863067
Nov-15,60642279,10044725,34173729,31285768,14682338,49219626,17920884,9878561
Dec-15,71367985,8104590,45018078,12595535,23820139,15116554,41874141,16964347
Jan-16,25430394,12293666,45811909,12077870,23818202,20999365,18937717,33523085
Feb-16,45526250,6022732,34796875,13060050,11905507,18217237,7613524,61112569
Mar-16,39224978,13259075,53585195,9758837,11905759,20999685,12710804,7677088
