month,アメリカ合衆国,オーストラリア,中華人民共和国,大韓民国,台湾,香港,タイ,シンガポール,インドネシア
Aug-12,16333,800294,373647,103941,0,44471,44529,23471,0
Sep-12,83398,0,9118,1072559,336441,32118,331882,265059,211235
Oct-12,45967,91059,0,54353,105812,0,8029,179118,0
Nov-12,442978,0,222994,258441,81529,150588,234118,210706,0
Dec-12,53822,11735,29412,834618,38353,337765,441176,32118,0
Jan-13,59644,24388,252353,779882,195724,57647,0,0,0
Feb-13,227244,41382,342765,272318,0,223529,549588,11118,0
Mar-13,199722,387765,247988,333941,628235,30265,812941,282353,23471
Apr-13,175013,0,279812,277235,169335,1995706,17042941,378559,104706
May-13,412856,140294,3199971,551565,1047059,66471,2186618,404706,264706
Jun-13,249429,5826941,181176,1984971,1477029,1032500,6152735,275706,205882
Jul-13,69493,112300,297118,109529,147235,648900,1181059,48235,1164159
Aug-13,303867,215829,1803765,452412,105000,11118,2444824,0,440341
Sep-13,1081513,55871,177559,2067335,5551071,323753,22519465,601029,692306
Oct-13,1261773,2005582,1497294,1151153,283676,2735294,57616541,20912765,3508576
Nov-13,806133,254171,2695065,3555735,12795047,9369729,60892471,3320129,1837818
Dec-13,227022,1460071,2544506,5460518,7309247,14222976,74645053,1093282,1828047
Jan-14,695859,287280,1073720,9329507,1469653,2660960,51028467,2130247,3299987
Feb-14,5528889,644080,2051833,3956333,1410733,4869527,35265193,1976447,2747713
Mar-14,333289,89047,1257333,2203993,27051713,5234480,93002087,2422760,7928133
Apr-14,1582350,1790247,1207407,13278553,169200,2066920,150526880,970280,16632020
May-14,1082159,587960,3996547,8180347,19206073,4191713,53136487,263113,22568200
Jun-14,209507,30240,5010847,6106200,4829553,6277447,37582433,109147,1321000
Jul-14,2676633,0,1110860,7284393,1265280,0,72323987,8164087,14105527
Aug-14,1745520,70853,6657647,7275667,1732867,3743333,79470240,110613,6905767
Sep-14,950100,569133,4570373,4262240,16576047,5577433,36317920,0,2975620
Oct-14,5011540,194353,14978380,5833800,3790227,3087633,139723880,15176553,20622227
Nov-14,726976,0,12896293,861080,11170067,8549967,93447080,7459513,38317293
Dec-14,1415133,310460,4176600,5626053,12449860,23793660,85986220,361753,12162247
Jan-15,4347165,1127560,1969080,2091200,3026873,21487353,101922680,24844893,33891772
Feb-15,7914530,244120,2190853,5526233,13829833,9782727,85832700,27029527,3141733
Mar-15,1806889,554807,4150460,1801667,7877720,6815513,109037967,2000747,19948620
Apr-15,1607959,866007,19581833,2923193,20395333,37318933,77217573,18225447,13634380
May-15,820415,785227,1052907,0,4580600,43426800,118112367,37838533,36972847
Jun-15,16903600,1207587,18042667,15557167,21444187,12752893,76249893,8006667,44075320
Jul-15,10840972,691787,2231893,3239547,5087987,10512753,43080593,40346507,18391973
Aug-15,1471191,178873,5241693,449907,6161787,8587447,45182727,12442560,46847607
Sep-15,1271117,2038760,7366227,3406720,14014860,11383967,25271493,5006987,554327
Oct-15,1167046,2127720,15004573,1073120,4908533,35866447,72292620,27187013,6191453
Nov-15,4075904,100555,12275351,6752610,3127813,2383488,59140521,9318820,23417937
Dec-15,9097670,27076459,1976496,7589175,10874250,25110637,119992491,41264784,33279869
Jan-16,11687370,649521,5844742,6002094,14555078,6628941,82886038,4916580,34698862
Feb-16,1275920,235177,19528790,0,8550590,24965271,136040907,29021278,32265543
Mar-16,2380739,1536869,5750130,1404368,6209235,28179246,42241383,17026869,24577288
