,米ドル,オーストラリアドル,中国人民元,香港ドル,シンガポールドル,タイバーツ,韓国ウォン,台湾ドル
8/31/12,78.69,82.4,12.36,10.15,63.05,2.51,6.95,2.63
9/28/12,78.18,81.15,12.36,10.08,63.42,2.52,6.96,2.65
10/31/12,78.99,81.38,12.6,10.19,64.53,2.57,7.14,2.7
11/30/12,80.9,84.18,12.99,10.44,66.14,2.64,7.44,2.78
12/28/12,83.65,87.53,13.46,10.79,68.55,2.73,7.77,2.88
1/31/13,89.24,93.7,14.39,11.51,72.63,2.97,8.37,3.07
2/28/13,93.23,96.21,14.98,12.02,75.29,3.13,8.59,3.15
3/29/13,94.81,98,15.27,12.22,76.09,3.21,8.61,3.19
4/30/13,97.73,101.51,15.8,12.59,78.93,3.37,8.71,3.28
5/31/13,101.1,99.96,16.47,13.02,80.92,3.4,9.09,3.4
6/28/13,97.45,92.04,15.89,12.56,77.36,3.17,8.59,3.26
7/31/13,99.78,91.55,16.27,12.86,78.7,3.21,8.86,3.34
8/30/13,97.86,88.36,16,12.62,76.9,3.1,8.77,3.27
9/30/13,99.23,91.96,16.24,12.8,78.53,3.13,9.15,3.35
10/31/13,97.87,93.12,16.06,12.62,78.7,3.14,9.18,3.33
11/29/13,100.03,93.3,16.46,12.91,80.19,3.16,9.42,3.39
12/30/13,103.49,92.99,17.04,13.35,82.24,3.2,9.8,3.49
1/31/14,103.93,91.97,17.23,13.4,81.6,3.16,9.73,3.45
2/28/14,102.15,91.55,16.87,13.17,80.68,3.13,9.54,3.38
3/31/14,102.27,92.8,16.61,13.18,80.72,3.16,9.56,3.37
4/30/14,102.58,95.59,16.49,13.23,81.73,3.18,9.83,3.4
5/30/14,101.83,94.75,16.32,13.14,81.35,3.13,9.94,3.38
6/30/14,102.08,95.58,16.39,13.17,81.59,3.14,10.02,3.41
7/31/14,101.73,95.55,16.41,13.13,81.86,3.17,9.98,3.4
8/29/14,102.97,95.83,16.73,13.28,82.47,3.22,10.05,3.44
9/30/14,107.08,97.26,17.43,13.81,84.88,3.33,10.37,3.56
10/31/14,108,94.77,17.6,13.92,84.77,3.33,10.19,3.56
11/28/14,116.23,100.46,18.96,14.99,89.71,3.55,10.59,3.79
12/30/14,119.42,98.58,19.3,15.4,90.81,3.63,10.81,3.81
1/30/15,118.34,95.57,19.01,15.26,88.44,3.62,10.88,3.74
2/27/15,118.59,92.42,18.95,15.29,87.56,3.64,10.78,3.76
3/31/15,120.38,93.12,19.27,15.52,87.46,3.69,10.83,3.83
4/30/15,119.58,92.2,19.29,15.43,88.5,3.68,10.99,3.86
5/29/15,120.76,95.41,19.47,15.58,90.52,3.6,11.04,3.95
6/30/15,123.77,95.48,19.95,15.97,91.98,3.67,11.12,4.01
7/31/15,123.25,91.53,19.84,15.9,90.61,3.6,10.76,3.96
8/31/15,123.22,89.99,19.33,15.89,88.24,3.49,10.45,3.83
9/30/15,120.24,84.77,18.74,15.51,84.95,3.34,10.12,3.68
10/30/15,120.08,86.36,18.88,15.5,85.69,3.36,10.48,3.7
11/30/15,122.59,87.59,19.17,15.82,86.73,3.43,10.63,3.76
12/30/15,121.85,88.33,18.72,15.72,86.6,3.39,10.39,3.72
1/29/16,118.24,83,17.9,15.2,82.56,3.27,9.84,3.54
2/29/16,115.08,82.06,17.56,14.79,81.8,3.23,9.45,3.47
3/31/16,113.03,84.54,17.37,14.56,82.18,3.21,9.52,3.46
